City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
275,Guangshui,CN,31.6199,113.9978,286.94,86,100,7.8,overcast clouds
276,Akyab,MM,20.15,92.9,300.27,78,80,2.68,broken clouds
277,Tromso,NO,69.6496,18.957,278.36,100,100,0.51,fog
278,Kaitangata,NZ,-46.2817,169.8464,285.92,61,83,6.07,broken clouds
279,Mount Gambier,AU,-37.8333,140.7667,288.58,71,100,4.64,overcast clouds
280,Skibbereen,IE,51.55,-9.2667,289.32,93,100,11.23,overcast clouds
281,Boa Vista,BR,2.8197,-60.6733,299.14,78,40,2.06,scattered clouds
282,Kudahuvadhoo,MV,2.6708,72.8944,300.7,76,100,7.96,overcast clouds
283,Progreso,MX,21.2833,-89.6667,299.88,73,12,5.51,few clouds
284,Rocha,UY,-34.4833,-54.3333,281.31,87,17,1.57,few clouds
285,Eyl,SO,7.9803,49.8164,297.24,84,29,4.48,scattered clouds
286,Paamiut,GL,61.994,-49.6678,275.65,64,9,3.11,clear sky
287,Price,US,39.5994,-110.8107,288.77,77,75,3.09,broken clouds
288,Amparafaravola,MG,-17.5833,48.2167,283.88,92,0,0.63,clear sky
289,Spas-Demensk,RU,54.4122,34.0226,277.41,97,100,5.52,light rain
290,Stornoway,GB,58.2093,-6.3865,288.13,95,100,14.4,moderate rain
291,Bahia Honda,CU,22.9036,-83.1592,296.17,65,12,2.44,few clouds
292,Bonfim,BR,3.0833,-59.95,298.72,76,74,1.79,broken clouds
293,Narimanov,RU,46.6927,47.8498,290.1,50,100,7.72,overcast clouds
294,Xiangxiang,CN,27.7333,112.5333,298.25,64,56,7.2,broken clouds
295,Ukiah,US,39.1502,-123.2078,296.84,67,0,1.54,clear sky
296,Tautira,PF,-17.7333,-149.15,297.8,81,23,9.83,light rain
297,San Patricio,US,28.017,-97.5169,299.12,46,99,2.77,overcast clouds
298,Angoram,PG,-4.0625,144.0661,306.77,50,20,1.63,few clouds
299,Grindavik,IS,63.8424,-22.4338,284.12,76,100,7.72,overcast clouds
300,Makurdi,NG,7.7411,8.5121,296.27,92,100,1.48,overcast clouds
301,Lalgudi,IN,10.8667,78.8333,299.33,78,40,6.17,mist
302,Lompoc,US,34.6391,-120.4579,294.73,85,5,1.34,clear sky
303,Klaksvik,FO,62.2266,-6.589,284.66,98,100,11.09,light rain
304,Lumeje,AO,-11.55,20.7833,292.83,53,63,3.06,broken clouds
305,Krasnogorsk,RU,55.8225,37.3181,283.4,76,75,7.0,broken clouds
306,Sorland,NO,67.667,12.6934,281.07,82,88,7.96,overcast clouds
307,Srivardhan,IN,18.0333,73.0167,298.41,87,100,3.16,overcast clouds
308,Henties Bay,NA,-22.116,14.2845,285.69,95,38,2.29,scattered clouds
309,Nantucket,US,41.2835,-70.0995,286.56,81,100,13.58,overcast clouds
310,Lorengau,PG,-2.0226,147.2712,303.21,67,16,4.84,few clouds
311,Fez,MA,34.0372,-4.9998,293.29,39,0,3.09,haze
312,Dhidhdhoo,MV,6.8833,73.1,300.63,78,100,6.82,overcast clouds
313,Amherst,US,41.3978,-82.2224,284.89,84,0,0.89,clear sky
314,Swan Hill,AU,-35.3378,143.5544,295.03,39,98,3.31,overcast clouds
315,Cooma,AU,-36.2333,149.1333,291.18,42,98,0.31,overcast clouds
316,Kaohsiung,TW,22.6163,120.3133,305.12,70,40,2.68,scattered clouds
317,Linqiong,CN,30.4159,103.4609,293.05,90,100,2.16,overcast clouds
318,Dunedin,NZ,-45.8742,170.5036,287.62,47,96,1.4,overcast clouds
319,Oranjemund,NA,-28.55,16.4333,286.02,94,16,5.18,few clouds
320,Wajima,JP,37.4,136.9,300.53,65,75,8.23,broken clouds
321,Tambopata,PE,-12.7333,-69.1833,296.17,88,92,1.2,overcast clouds
322,Saravena,CO,6.9538,-71.8752,295.73,90,52,1.35,broken clouds
323,Acajutla,SV,13.5928,-89.8275,299.2,83,100,1.5,overcast clouds
324,Saldanha,ZA,-33.0117,17.9442,281.18,81,2,3.61,clear sky
325,Lagoa,PT,39.05,-27.9833,293.41,80,96,2.13,overcast clouds
326,Bilibino,RU,68.0546,166.4372,270.6,70,99,0.95,overcast clouds
327,Niquero,CU,20.0431,-77.5828,299.0,80,89,0.44,overcast clouds
328,Tchollire,CM,8.4022,14.1698,295.01,96,98,0.39,light rain
329,Ati,TD,13.2154,18.3353,299.01,65,93,5.65,overcast clouds
330,Mbanza-Ngungu,CD,-5.25,14.8667,293.3,85,76,1.82,broken clouds
331,Mugur-Aksy,RU,50.35,90.5,268.67,38,0,1.18,clear sky
332,Brae,GB,60.3964,-1.353,285.36,94,100,11.62,light rain
333,Chuy,UY,-33.6971,-53.4616,286.37,60,91,3.84,overcast clouds
334,Half Moon Bay,US,37.4636,-122.4286,293.16,78,0,8.75,clear sky
335,Sinnamary,GF,5.3833,-52.95,298.71,88,92,3.48,overcast clouds
336,Lethem,GY,3.3803,-59.7968,299.09,70,77,1.53,broken clouds
337,Mackay,AU,-21.15,149.2,297.42,63,100,6.81,overcast clouds
338,Zakharovo,RU,54.366,39.2792,282.09,81,8,7.74,clear sky
339,Vila Franca Do Campo,PT,37.7167,-25.4333,297.15,93,46,4.75,light rain
340,Karasjok,NO,69.4719,25.5112,275.3,86,100,1.41,overcast clouds
341,Quatre Cocos,MU,-20.2078,57.7625,294.87,78,23,5.35,few clouds
342,Petrivka,UA,46.9695,30.9591,283.74,76,45,5.12,scattered clouds
343,Pangody,RU,65.85,74.4859,276.05,95,100,5.84,overcast clouds
344,Yumen,CN,40.2833,97.2,279.5,39,0,9.07,clear sky
345,Galle,LK,6.0367,80.217,298.89,86,100,6.53,overcast clouds
